Student_ID,Roll_Number,Full_Name,Gender,Branch,Section,CGPA,SGPA,Backlogs,Sem_Status,Skills,Certifications_Count,Internship_Count,Eligible_For_Placements,Placement_Status
STU0001,22311A0501,Madhuri Ramaiah,Female,CSE,A,9.09,9.08,0,PASS,"SQL, DSA",3,3,Yes,Placed
STU0002,22311A0502,Teja Venkatesh,Male,CSE,B,7.17,6.96,1,FAIL,"MongoDB, AWS, React",3,0,Yes,Placed
STU0003,22311A0503,Hemanth Raju,Male,CSE,C,6.35,6.6,2,FAIL,"Git, SQL, AWS, Node.js, Web Development",1,0,Yes,Not Placed
STU0004,22311A0504,Vamshi Srinivas,Male,CSE,D,5.73,5.54,0,PASS,"SQL, AWS, Web Development",0,1,No,Not Placed
STU0005,22311A0505,Pavani Lakshmi,Female,CSE,E,8.63,8.78,0,PASS,"Java, Docker, AWS",4,3,Yes,Placed
STU0006,22311A0506,Srikanth Rathod,Male,CSE,F,6.55,6.39,0,PASS,"C++, React, DSA",1,0,Yes,Not Placed
STU0007,22311A0507,Balaji Yadav,Male,CSE,A,9.58,10.0,0,PASS,"React, DSA, Java, Git, Docker",2,1,Yes,Placed
STU0008,22311A0508,Praveen Shetty,Male,CSE,B,7.07,7.86,0,PASS,"Python, Node.js, SQL, Git, Web Development, AWS",3,0,Yes,Placed
STU0009,22311A0509,Balaji Reddy,Male,CSE,C,7.25,6.9,2,FAIL,"Node.js, Git, C++, DSA",2,1,Yes,Placed
STU0010,22311A0510,Kousalya Das,Female,CSE,D,8.36,9.14,0,PASS,"Python, DSA, C++",1,0,Yes,Not Placed
STU0011,22311A0511,Dinesh Mandal,Male,CSE,E,5.98,6.15,0,PASS,"AWS, DSA, Git, Node.js, Web Development, C++",2,0,No,Not Placed
STU0012,22311A0512,Omkar Bansal,Male,CSE,F,7.38,7.1,0,PASS,"MongoDB, Node.js",1,0,Yes,Not Placed
STU0013,22311A0513,Nithish Singh,Male,CSE,A,9.72,10.0,0,PASS,"Docker, DSA, MongoDB, AWS, Node.js, Python",2,3,Yes,Placed
STU0014,22311A0514,Akshay Joshi,Male,CSE,B,9.1,9.06,0,PASS,"SQL, DSA, Node.js, C++",6,2,Yes,Placed
STU0015,22311A0515,Ishitha Bhuvanesh,Female,CSE,C,7.71,8.31,0,PASS,"Python, SQL, DSA, Java, AWS, C++",4,0,Yes,Placed
STU0016,22311A0516,Deepak Pillai,Male,CSE,D,7.68,7.72,0,PASS,"Node.js, Docker, Java, DSA, Web Development, SQL",1,1,Yes,Placed
STU0017,22311A0517,Prudhvi Varma,Male,CSE,E,9.06,9.17,0,PASS,"SQL, C++, MongoDB",3,2,Yes,Placed
STU0018,22311A0518,Tanuja Ramaiah,Female,CSE,F,5.58,5.9,1,FAIL,"Web Development, DSA, React, Node.js",0,0,No,Not Placed
STU0019,22311A0519,Balaji Saidulu,Male,CSE,A,7.43,7.62,0,PASS,"DSA, Git, Web Development, Java, React, Python",2,1,Yes,Placed
STU0020,22311A0520,Padmaja Dey,Female,CSE,B,9.01,9.55,0,PASS,"Node.js, SQL, Java, Web Development",2,1,Yes,Placed
STU0021,22311A0521,Praveen Natarajan,Male,CSE,C,7.53,8.12,0,PASS,"Python, SQL, AWS, Web Development",1,0,Yes,Not Placed
STU0022,22311A0522,Venkat Shetty,Male,CSE,D,6.51,6.02,1,FAIL,"Git, Python, React",1,0,Yes,Not Placed
STU0023,22311A0523,Mounika Kadam,Female,CSE,E,9.21,8.96,0,PASS,"React, Git",5,3,Yes,Placed
STU0024,22311A0524,Tarun Shetty,Male,CSE,F,8.74,8.61,0,PASS,"Node.js, DSA, Web Development, Java, SQL",5,1,Yes,Placed
STU0025,22311A0525,Srikanth Venkatesh,Male,CSE,A,7.69,7.41,0,PASS,"AWS, React, Web Development",1,2,Yes,Placed
STU0026,22311A0526,Sreshta Roy,Female,CSE,B,9.12,9.88,0,PASS,"C++, Web Development, Python",2,3,Yes,Placed
